original_filepath,filename,label,aug_method,audio,sample_rate,duration
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,original,"[-0.00064087 -0.00036621 -0.00054932 ...  0.00082397  0.00085449
  0.00079346]",48000,2.2813333333333334
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,noise,"[-0.02179128 -0.06062709 -0.01071099 ...  0.04803479 -0.02284868
 -0.0118369 ]",48000,2.2813333333333334
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,time_stretch_longer,"[-0.00066934 -0.0004014  -0.00058209 ...  0.00019099  0.00017759
  0.0001717 ]",48000,1.9011041666666666
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,time_stretch_slower,"[-0.00064116 -0.00036736 -0.00055282 ...  0.00110481  0.00108237
  0.00108666]",48000,2.8516666666666666
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,pitch_shift_alto,"[-0.0005602  -0.0003844  -0.00061505 ...  0.00045774  0.00045344
  0.00045966]",48000,2.2813333333333334
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,pitch_shift_bajo,"[-0.00061524 -0.00043125 -0.00044711 ...  0.00034835  0.00046952
  0.00040742]",48000,2.2813333333333334
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,volume_up,"[-0.0009613  -0.00054932 -0.00082397 ...  0.00123596  0.00128174
  0.00119019]",48000,2.2813333333333334
Audios/Luis/LuisG-03_02.m4a,LuisG-03_02.m4a,Luis,volume_down,"[-0.00032043 -0.00018311 -0.00027466 ...  0.00041199  0.00042725
  0.00039673]",48000,2.2813333333333334
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,original,"[-1.6479492e-03 -1.6784668e-03 -1.8615723e-03 ... -2.4414062e-04
 -1.5258789e-04 -6.1035156e-05]",48000,2.644
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,noise,"[ 0.01034405  0.0068097  -0.0187941  ...  0.02560336  0.02520334
  0.01192265]",48000,2.644
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,time_stretch_longer,"[-0.00157128 -0.00160878 -0.00178727 ... -0.00508322 -0.00509143
 -0.0051799 ]",48000,2.203333333333333
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,time_stretch_slower,"[-0.00165598 -0.00168208 -0.00187353 ... -0.00413562 -0.00496714
 -0.00515041]",48000,3.305
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,pitch_shift_alto,"[-0.00145747 -0.0017767  -0.00181308 ...  0.00123272  0.0008625
  0.00153806]",48000,2.644
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,pitch_shift_bajo,"[-0.00150529 -0.00167582 -0.00169714 ...  0.00325685  0.00325313
  0.00344848]",48000,2.644
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,volume_up,"[-2.4719238e-03 -2.5177002e-03 -2.7923584e-03 ... -3.6621094e-04
 -2.2888184e-04 -9.1552734e-05]",48000,2.644
Audios/Luis/LuisG-03_03.m4a,LuisG-03_03.m4a,Luis,volume_down,"[-8.2397461e-04 -8.3923340e-04 -9.3078613e-04 ... -1.2207031e-04
 -7.6293945e-05 -3.0517578e-05]",48000,2.644
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,original,[0.0005188  0.00045776 0.00033569 ... 0.003479   0.00366211 0.00378418],48000,4.073333333333333
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,noise,"[-0.02743762 -0.05038864 -0.00869794 ... -0.04632921  0.0165019
 -0.00283454]",48000,4.073333333333333
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,time_stretch_longer,[0.00054636 0.00048478 0.00035752 ... 0.0002073  0.00020763 0.00011098],48000,3.3944375
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,time_stretch_slower,"[ 0.00050792  0.00044351  0.00032223 ... -0.00154064 -0.00180446
 -0.00180872]",48000,5.091666666666667
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,pitch_shift_alto,[0.00044784 0.00046994 0.00024459 ... 0.0021477  0.0010926  0.00072791],48000,4.073333333333333
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,pitch_shift_bajo,"[ 0.00050219  0.00050101  0.00036033 ... -0.00177309 -0.00220232
 -0.00320052]",48000,4.073333333333333
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,volume_up,[0.0007782  0.00068665 0.00050354 ... 0.00521851 0.00549316 0.00567627],48000,4.073333333333333
Audios/Luis/LuisG-01_04.m4a,LuisG-01_04.m4a,Luis,volume_down,[0.0002594  0.00022888 0.00016785 ... 0.0017395  0.00183105 0.00189209],48000,4.073333333333333
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,original,"[-0.00033569 -0.00024414 -0.00042725 ...  0.00393677  0.00393677
  0.00418091]",48000,2.324
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,noise,"[-0.00732183  0.04270603  0.02218871 ...  0.01110775 -0.00401942
 -0.03891774]",48000,2.324
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,time_stretch_longer,"[-0.00032503 -0.00023391 -0.00041402 ...  0.00118341  0.00126684
  0.00143175]",48000,1.9366666666666668
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,time_stretch_slower,"[-0.00032104 -0.00022511 -0.00041263 ... -0.00018489 -0.00017675
 -0.0001807 ]",48000,2.905
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,pitch_shift_alto,"[-0.00025826 -0.00029546 -0.00036939 ...  0.00409155  0.0040184
  0.00431319]",48000,2.324
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,pitch_shift_bajo,"[-0.00030085 -0.00024589 -0.00037286 ...  0.0004454   0.00037554
  0.00046216]",48000,2.324
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,volume_up,"[-0.00050354 -0.00036621 -0.00064087 ...  0.00590515  0.00590515
  0.00627136]",48000,2.324
Audios/Luis/LuisG-03_01.m4a,LuisG-03_01.m4a,Luis,volume_down,"[-0.00016785 -0.00012207 -0.00021362 ...  0.00196838  0.00196838
  0.00209045]",48000,2.324
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,original,"[-3.0517578e-05 -6.4086914e-04 -6.7138672e-04 ... -2.8381348e-03
 -2.6245117e-03 -2.7160645e-03]",48000,3.156
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,noise,"[ 0.00284802 -0.01224045 -0.00079361 ...  0.03277006 -0.04638643
  0.01107508]",48000,3.156
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,time_stretch_longer,"[ 9.9156332e-06 -5.8647082e-04 -6.2140467e-04 ... -3.1178691e-03
 -3.3603194e-03 -3.4443319e-03]",48000,2.63
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,time_stretch_slower,"[-3.4421613e-05 -6.5867900e-04 -6.8446918e-04 ...  2.7675421e-03
  2.7121233e-03  2.7462628e-03]",48000,3.945
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,pitch_shift_alto,"[-8.9304871e-05 -6.4454239e-04 -6.5834343e-04 ...  1.7005259e-03
  1.5325409e-03  1.8078452e-03]",48000,3.156
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,pitch_shift_bajo,"[-2.4714393e-05 -5.4384326e-04 -6.9773372e-04 ...  3.1193008e-03
  3.6555715e-03  0.0000000e+00]",48000,3.156
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,volume_up,"[-4.5776367e-05 -9.6130371e-04 -1.0070801e-03 ... -4.2572021e-03
 -3.9367676e-03 -4.0740967e-03]",48000,3.156
Audios/Luis/LuisG-01_05.m4a,LuisG-01_05.m4a,Luis,volume_down,"[-1.5258789e-05 -3.2043457e-04 -3.3569336e-04 ... -1.4190674e-03
 -1.3122559e-03 -1.3580322e-03]",48000,3.156
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,original,"[-0.00299072 -0.00292969 -0.00289917 ...  0.00204468  0.00204468
  0.00228882]",48000,3.518666666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,noise,"[-0.0066657  -0.00349604 -0.03795815 ... -0.0220015   0.01105796
  0.03572355]",48000,3.518666666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,time_stretch_longer,"[-0.00295808 -0.00290076 -0.00286567 ... -0.00338558 -0.00405629
 -0.00431116]",48000,2.9322291666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,time_stretch_slower,"[-0.00300245 -0.00294104 -0.00292491 ... -0.00163776 -0.00163398
 -0.00150998]",48000,4.398333333333333
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,pitch_shift_alto,"[-0.00266708 -0.00304159 -0.00280771 ...  0.00011917  0.00033844
  0.00029267]",48000,3.518666666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,pitch_shift_bajo,"[-0.00280189 -0.00301639 -0.00271555 ... -0.00026419 -0.00051867
 -0.00046014]",48000,3.518666666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,volume_up,"[-0.00448608 -0.00439453 -0.00434875 ...  0.00306702  0.00306702
  0.00343323]",48000,3.518666666666667
Audios/Luis/LuisG-01_01.m4a,LuisG-01_01.m4a,Luis,volume_down,"[-0.00149536 -0.00146484 -0.00144958 ...  0.00102234  0.00102234
  0.00114441]",48000,3.518666666666667
Audios/Luis/LuisG-03_04.m4a,LuisG-03_04.m4a,Luis,original,"[-0.00387573 -0.00366211 -0.00366211 ...  0.00506592  0.00524902
  0.00469971]",48000,3.2413333333333334
Audios/Luis/LuisG-03_04.m4a,LuisG-03_04.m4a,Luis,noise,"[ 0.00646475 -0.03251264 -0.0597362  ... -0.01430823 -0.01408119
  0.00042524]",48000,3.2413333333333334
Audios/Luis/LuisG-03_04.m4a,LuisG-03_04.m4a,Luis,time_stretch_longer,"[-0.00383458 -0.00363417 -0.0036245  ... -0.00255119 -0.00290818
 -0.00289686]",48000,2.7011041666666666
